	ComplexName	UniProtIDs	GeneNames
577	DMAP1-associated complex	Q9H2F5;Q9NPF5;Q6ZRS2;Q9Y230;O96019;Q9H0E9;Q9Y265;Q96L91;Q15906;Q9Y4A5	EPC1;DMAP1;SRCAP;RUVBL2;ACTL6A;BRD8;RUVBL1;EP400;VPS72;TRRAP
578	DNMT1-HDAC2-DMAP1 complex	P13864;P70288;Q9JI44	Dnmt1;Hdac2;Dmap1
579	SNARE complex (STX2, SNAP23)	P32856;O00161	STX2;SNAP23
580	Cdc42-Par6b-Par3-Prkci complex	P60766;Q62074;Q99NH2;Q9JK83	Cdc42;Prkci;Pard3;Pard6b
581	BRG1-SIN3A-HDAC containing SWI/SNF remodeling complex I	O14497;P51532;Q96GM5;O96019;Q969G3;Q92769;O14744;Q96ST3;Q92922;Q12824;Q8TAQ2	ARID1A;SMARCA4;SMARCD1;ACTL6A;SMARCE1;HDAC2;PRMT5;SIN3A;SMARCC1;SMARCB1;SMARCC2
582	CDC42-Par6c-Par3-Prkcz complex	F6XMN6;P60952;F1PFK4;J9P3Q8	PRKCZ;CDC42;PARD3;PARD6A
583	SNARE complex (STX4, SNAP23)	Q12846;O00161	STX4;SNAP23
584	BRM-SIN3A-HDAC complex	O14497;Q92925;Q96GM5;O96019;P51531;Q969G3;Q92769;O14744;Q96ST3;Q92922;Q12824;Q8TAQ2	ARID1A;SMARCD2;SMARCD1;ACTL6A;SMARCA2;SMARCE1;HDAC2;PRMT5;SIN3A;SMARCC1;SMARCB1;SMARCC2
585	eRF1-eRF3-GTP-Mg(2+) complex	P62495;P15170	ETF1;GSPT1
586	FCP1-associated protein complex	Q15208;P30876;O14744;P84090;Q9Y5B0;Q9BQA1;P35269	STK38;POLR2B;PRMT5;ERH;CTDP1;WDR77;GTF2F1
587	Upf complex (UPF1, UPF2, UPF3a)	Q9H1J1;Q9HAU5;Q92900	UPF3A;UPF2;UPF1
588	Upf complex (UPF1, UPF2, UPF3b)	Q9HAU5;Q9BZI7;Q92900	UPF2;UPF3B;UPF1
589	Postsplicing complex	Q15287;Q9UBU9;Q9H1J1;Q92900;Q9HAU5;Q9Y5S9;Q9BZI7	RNPS1;NXF1;UPF3A;UPF1;UPF2;RBM8A;UPF3B
590	MRIP-MBS-RHOA complex	Q6WCQ1;O14974;P61586	MPRIP;PPP1R12A;RHOA
591	20S methylosome-SmD complex	P62318;P54105;O14744;P62314	SNRPD3;CLNS1A;PRMT5;SNRPD1
592	SNARE complex (STX6, SNAP23)	O43752;O00161	STX6;SNAP23
593	Pard3-Cdh5-Ctnna1-Ctnnb1 complex	A0A1U8CE17;A0A1U7QTB8;A0A1U7R8Q6;A0A1U7QDJ2	Ctnnb1;Cdh5;Pard3;Ctnna1
594	mRNA decay complex (UPF1, UPF2, UPF3B, DCP2, XRN1, XRN2, EXOSC2, EXOSC4, EXOSC10, PARN)	Q13868;Q92900;Q9H0D6;Q9HAU5;Q9NPD3;Q01780;Q8IU60;O95453;Q8IZH2;Q9BZI7	EXOSC2;UPF1;XRN2;UPF2;EXOSC4;EXOSC10;DCP2;PARN;XRN1;UPF3B
595	JBP1-pICln complex	P54105;P14678;O14744	CLNS1A;SNRPB;PRMT5
596	TRPC1-STIM1-ORAI1 complex	P48995;Q9UQB3;Q96D31	TRPC1;CTNND2;ORAI1
597	PAR-6-VE-cadherin complex, endothelial	Q9NPB6;P33151	PARD6A;CDH5
598	Trpc1-Stim1-Orai1 complex	P84903;Q5M848;Q9QX01	Stim1;Orai1;Trpc1
599	PAR-6-PAR-3-VE-cadherin complex, endothelial	Q8TEW0;Q9NPB6;P33151	PARD3;PARD6A;CDH5
600	Anti-Sm protein complex	P54105;O14893;Q16637;P57678;Q9UHI6;O14744;P14678	CLNS1A;GEMIN2;SMN1;GEMIN4;DDX20;PRMT5;SNRPB
601	6S methyltransferase complex	P54105;P62318;P62314	CLNS1A;SNRPD3;SNRPD1
602	20S methylosome and RG-containing Sm protein complex	P54105;O14744;P62314;P62318;P14678;P62316	CLNS1A;PRMT5;SNRPD1;SNRPD3;SNRPB;SNRPD2
603	6S methyltransferase and RG-containing Sm proteins complex	P62308;P62304;P54105;P62318;P62306;P62314;P14678;P62316	SNRPG;SNRPE;CLNS1A;SNRPD3;SNRPF;SNRPD1;SNRPB;SNRPD2
604	20S methyltransferase core complex	P54105;O14744	CLNS1A;PRMT5
605	p27-Cdk2-Fgf2 complex	P48799;Q0GMK8;A8UKE6	FGF2;CDKN1B;CDK2
606	LIN9-BMYB complex	P10244;Q5TKA1	MYBL2;LIN9
607	Disc1-Grb2-Kif5a complex	P62994;Q810H6;Q6QLM7	Grb2;Disc1;Kif5a
608	SNARE complex (Stx3, Snap25, Vamp2, Cplx1)	P60881;P63041;P63045;Q08849	Snap25;Cplx1;Vamp2;Stx3
609	PCI-PSA-SCG2 complex	P07288;P13521;P05154	KLK3;SCG2;SERPINA5
610	RICH1/AMOT polarity complex, Flag-Rich1 precipitated	Q96B97;P47756;Q8N3R9;Q8NI35;Q68EM7;Q9Y5K6;Q4VCS5;P52907	SH3KBP1;CAPZB;MPP5;PATJ;ARHGAP17;CD2AP;AMOT;CAPZA1
611	RICH1-PAR3-aPKC polarity complex	Q8TEW0;P41743;Q68EM7	PARD3;PRKCI;ARHGAP17
612	RICH1/AMOT polarity complex, Flag-Amot precipitated	Q8IY63;Q8N3R9;Q8NI35;Q68EM7;Q5T2T1;Q9Y2J4;Q4VCS5;O75970	AMOTL1;MPP5;PATJ;ARHGAP17;MPP7;AMOTL2;AMOT;MPDZ
613	SNARE complex (Stx1a, Snap25, Vamp8)	P60881;Q9WUF4;P32851	Snap25;Vamp8;Stx1a
614	SNARE complex (Stx2, Snap25, Vamp8)	P60881;P50279;Q9WUF4	Snap25;Stx2;Vamp8
615	SNARE complex (Stx3, Snap25, Vamp8)	P60881;Q9WUF4;Q08849	Snap25;Vamp8;Stx3
616	SNARE complex (Stx4, Snap25, Vamp8)	P60881;Q08850;Q9WUF4	Snap25;Stx4;Vamp8
617	CRB3-PALS1-PATJ cell polarity complex	E2QY99;E2QYC9;Q8QZT4	MPP5;PATJ;Crb3
618	SNARE complex (Stx4, Stx6, Stx7, Vamp3, Vamp7, Vamp8, Vti1b)	P70452;O88384;P63024;P70280;O70439;O70404;Q9JKK1	Stx4;Vti1b;Vamp3;Vamp7;Stx7;Vamp8;Stx6
619	DNMT1-EHMT2-PCNA complex	P12004;P26358;Q96KQ7	PCNA;DNMT1;EHMT2
620	Par-3-p75NTR complex	Q99NH2;Q9Z0W1	Pard3;Ngfr
621	DNMT1-EHMT2 complex	P26358;Q96KQ7	DNMT1;EHMT2
622	Srf-Myocd-Msx1 complex	Q9QUG0;D3ZHH8;Q8R5I7	Msx1;Srf;Myocd
623	Srf-Myocd-Msx2 complex	P52953;D3ZHH8;Q8R5I7	Msx2;Srf;Myocd
624	TRAP-SMCC mediator complex	Q9NX70;Q9BUE0;Q15528;Q15648;Q9P086;Q9NVC6;Q96G25;A0JLT2;Q71SY5;Q9NPJ6	MED29;MED18;MED22;MED1;MED11;MED17;MED8;MED19;MED25;MED4
625	BRAF53-BRCA2 complex	Q9UKL0;O60341;Q92769;Q13547;Q96BD5;P51587;Q9P0W2	RCOR1;KDM1A;HDAC2;HDAC1;PHF21A;BRCA2;HMG20B
626	SNARE complex (STX1A, SNAP29)	Q16623;O95721	STX1A;SNAP29
627	SNARE complex (VAMP3, VAMP4, VAMP8, STX6)	O43752;Q15836;Q9BV40;O75379	STX6;VAMP3;VAMP8;VAMP4
628	SNARE complex (VAMP3, VAMP4, STX16)	O14662;Q15836;O75379	STX16;VAMP3;VAMP4
629	SNARE complex (VAMP3, STX6, VTI1A)	Q96AJ9;O43752;Q15836	VTI1A;STX6;VAMP3
630	SNARE complex (VAMP4, STX6, STX16, VTI1a, VTI1b)	O14662;Q96AJ9;Q9UEU0;O43752;O75379	STX16;VTI1A;VTI1B;STX6;VAMP4
631	PKA (RII-alpha and RII-beta)-AKAP5-ADRB1 complex	P31323;P24588;P13861;P08588	PRKAR2B;AKAP5;PRKAR2A;ADRB1
632	SNARE complex (Vamp4, Stx6, Stx16, Vti1b)	D4A560;P58200;Q63635;B5DF99	Vamp4;Vti1b;Stx6;Stx16
633	SNARE complex (Vamp4, Stx6, Stx16, Vti1a)	D4A560;Q9JI51;Q63635;B5DF99	Vamp4;Vti1a;Stx6;Stx16
634	PAR-6-aPKC-PAR-3-Cdc42-Rac1 complex	J9P3Q8;P60952;F1PG28;F1PFK4;P62999	PARD6A;CDC42;PRKCI;PARD3;RAC1
635	GluR1-cadherin-catenin complex	P19490;Q9WU82;Q9Z1Y3	Gria1;Ctnnb1;Cdh2
636	Glur4-cadherin-catenin complex	P19493;Q9WU82;Q9Z1Y3	Gria4;Ctnnb1;Cdh2
637	MTA1 complex	Q09028;Q16576;O95983;Q92769;Q13330;Q6IT96	RBBP4;RBBP7;MBD3;HDAC2;MTA1;HDAC1
638	Glur2-Glur4-Plp-Itgav complex	P60203;P19491;P19493;F1LZX9	Plp1;Gria2;Gria4;Itgav
639	MTA2 complex	O94776;Q09028;Q16576;Q13547;O95983;Q92769;Q96ST3;Q14839	MTA2;RBBP4;RBBP7;HDAC1;MBD3;HDAC2;SIN3A;CHD4
640	MTA1-HDAC core complex	Q09028;Q16576;Q92769;Q13330;Q6IT96	RBBP4;RBBP7;HDAC2;MTA1;HDAC1
641	PAR-3-PKCz-Tiam2 complex	D3ZMS5;P09217;Q9Z340	Tiam2;Prkcz;Pard3
642	Par3-Prkcz-Tiam1 complex	P09217;D3ZWV8;Q9Z340	Prkcz;Tiam1;Pard3
643	PAR-3-aPKC-Tiam2 complex	F1M7Y5;D3ZMS5;Q9Z340	Prkci;Tiam2;Pard3
644	PAR-3-aPKC-Tiam1 complex	F1M7Y5;D3ZWV8;Q9Z340	Prkci;Tiam1;Pard3
645	Tiam2-PAR-3-aPKC-PAR-6-Cdc42-GTP complex	Q9Z340;P97701;Q6B4M5;Q8CFN2;D3ZMS5	Pard3;P97701;Pard6a;Cdc42;Tiam2
646	hMediator complex (MED23, CDK8, CCNC, MED7)	O43513;P24863;Q9ULK4;P49336	MED7;CCNC;MED23;CDK8
647	hMediator complex (MED23, CDK8, CCNC)	P24863;Q9ULK4;P49336	CCNC;MED23;CDK8
648	CDK8-CyclinC-Mediator complex	P24863;P49336	CCNC;CDK8
649	Mediator complex 1	O60244;Q9ULK4;P49336;O75586;P24863	MED14;MED23;CDK8;MED6;CCNC
650	Par-3-KIF3A-PKC-zeta complex	P09217;Q9WV62;Q9Z340	Prkcz;Kif3a;Pard3
651	Mediator complex 2	O75586;O60244;Q9ULK4	MED6;MED14;MED23
652	Kif3a-Pard3-Prkci complex	F1M7Y5;Q9WV62;Q9Z340	Prkci;Kif3a;Pard3
653	SNARE complex (Stx5, Gosr1, GS15)	Q62931;O35152;Q08851	Gosr1;Bet1l;Stx5
654	RET-Rai complex	Q92529;P07949	SHC3;RET
655	SHC3-GAB1 complex	Q92529;Q13480	SHC3;GAB1
656	KIF3A/B-PAR-3-aPKC-PAR-6 complex	P41743;Q9NPB6;Q9Y496;O15066;Q8TEW0	PRKCI;PARD6A;KIF3A;KIF3B;PARD3
657	SNARE complex (Stx5, Gosr1, Bet1, Gef2)	Q62931;Q62896;P60522;Q08851	Gosr1;Bet1;Gabarapl2;Stx5
658	PARD3-PARD6A-PRKCI complex	F1PG28;F1PFK4;J9P3Q8	PRKCI;PARD3;PARD6A
659	ARC92-Mediator complex	O60244;O95402;O43513;Q9ULK4;Q93074;Q15648;Q9Y2X0;Q9NVC6;Q96RN5;P49336;O75586;Q9UHV7;Q71SY5	MED14;MED26;MED7;MED23;MED12;MED1;MED16;MED17;MED15;CDK8;MED6;MED13;MED25
660	CRSP-Mediator 2 complex	O60244;O43513;Q9ULK4;Q9BUE0;O75448;Q9NVC6;Q96RN5;Q9Y2X0;O75586;Q9NPJ6	MED14;MED7;MED23;MED18;MED24;MED17;MED15;MED16;MED6;MED4
661	Par3-Apc-Kif3a complex	P70478;Q9WV62;Q9Z340	Apc;Kif3a;Pard3
662	FGFR1-KAL11 complex	P11362;P23352	FGFR1;ANOS1
663	PALS1-PATJ-CRB3-PAR3-PAR6-aPKC-14-3-3 zeta complex	J9P3Q8;E2QY99;F1PG28;F1PBL1;F1PFK4;E2QYC9;Q8QZT4	PARD6A;MPP5;PRKCI;YWHAZ;PARD3;PATJ;Crb3
664	SNARE complex (SNAP23, STX1A)	Q16623;O00161	STX1A;SNAP23
665	MPP5-PARD3-PRKCI-YWHAZ complex	E2QY99;F1PG28;F1PBL1;F1PFK4	MPP5;PRKCI;YWHAZ;PARD3
666	CERF complex (CECR2-containing remodeling factor complex)	P28370;Q9BXF3	SMARCA1;CECR2
667	PAR3-PAR6-PALS1 complex	Q8N3R9;Q8TEW0;Q9NPB6	MPP5;PARD3;PARD6A
668	PAR3-PATJ-PALS1 complex	E2QY99;F1PFK4;E2QYC9	MPP5;PARD3;PATJ
669	Remodeling and spacing factor (RSF) complex	Q96T23;O60264	RSF1;SMARCA5
670	SNF2L-RSF1 complex	Q96T23;P28370	RSF1;SMARCA1
671	Toposome	P11388;Q96SB4;Q6P2Q9;Q08211;Q9NR30;P07910;Q08945	TOP2A;SRPK1;PRPF8;DHX9;DDX21;HNRNPC;SSRP1
672	SNF2H-BAZ1A complex	O60264;Q9NRL2	SMARCA5;BAZ1A
673	SCRIB-LGL2 complex	Q6P1M3;Q14160	LLGL2;SCRIB
674	CENP-A NAC complex	Q96BT3;Q71F23;Q96H22;Q03188;Q9H3R5;Q9NSP4	CENPT;CENPU;CENPN;CENPC;CENPH;CENPM
675	SCRIB-VANGL2 complex	Q9ULK5;Q14160	VANGL2;SCRIB
676	CEN complex	Q13619;Q06587;Q92674;Q9BS16;Q71F23;O60264;Q8N1F7;Q9NSP4;Q9H0H5;Q08945;Q9HC52;Q92620;Q9BU64;Q8NEM2;Q96JP5;P11021;P35226;P07199;Q6T4P5;P49450;Q02241;Q96T23;Q5T200;Q15007;Q9BXP5;P22087;Q9Y5B9;P11142;Q9H3R5;Q16531;Q13185;Q69YN4;Q8N0S6;Q53SF7;Q9BZH6;Q03188;Q99496	CUL4A;RING1;CENPI;CENPK;CENPU;SMARCA5;NUP93;CENPM;RACGAP1;SSRP1;CBX8;DHX38;CENPO;SHCBP1;ZFP91;HSPA5;BMI1;CENPB;PLPPR3;CENPA;KIF23;RSF1;ZC3H13;WTAP;SRRT;FBL;SUPT16H;HSPA8;CENPH;DDB1;CBX3;VIRMA;CENPL;COBLL1;WDR11;CENPC;RNF2
677	SCRIB-GIT1-ARHGEF7 complex	Q9Y2X7;Q14160;Q14155	GIT1;SCRIB;ARHGEF7
678	Scrib-Git1-Arhgef7 complex	Q80U72;Q68FF6;Q9ES28	Scrib;Git1;Arhgef7
679	Ppar(alpha)-Pric320 complex	P37230;Q8BYH8	Ppara;Chd9
680	SCRIB-APC complex	P25054;Q14160	APC;SCRIB
681	FACT-NEK9 complex	Q9Y5B9;Q08945;Q8TD19	SUPT16H;SSRP1;NEK9
682	Scrib-APC-beta-catenin complex	Q61315;Q02248;Q80U72	Apc;Ctnnb1;Scrib
683	FACT complex	Q9Y5B9;Q08945	SUPT16H;SSRP1
684	FACT complex, UV-activated	P19784;Q9Y5B9;P68400;P67870;Q08945	CSNK2A2;SUPT16H;CSNK2A1;CSNK2B;SSRP1
685	Dysferlin-Dhpr complex	D4A6X1;Q02485	Dysf;Cacna1s
686	AnnexinVI-Fyn-Pyk2-RasGAP complex	P50904;P48037;P70600;Q62844	Rasa1;Anxa6;Ptk2b;Fyn
687	Arf1-Ap1g1-Ap1b1 complex	B2RYN6;P84079;P52303	Ap1g1;Arf1;Ap1b1
688	Cd44-Ots8 complex	P26051;Q64294	Cd44;Pdpn
689	Class C Vps complex (VPS11, VPS18, STX7)	Q9H270;Q9P253;O15400	VPS11;VPS18;STX7
690	Class C Vps complex (VPS11, VPS18, VPS16)	Q9H270;Q9H269;Q9P253	VPS11;VPS16;VPS18
691	Class C Vps complex (hVPS11, hVPS18, rVPS33a )	Q9H270;Q63615;Q9P253	VPS11;Vps33a;VPS18
692	Class C Vps complex (hVPS11, hVPS18, hVPS16, rVPS33a )	Q9H270;Q63615;Q9H269;Q9P253	VPS11;Vps33a;VPS16;VPS18
693	CDC7-DBF7 complex	O00311;Q9UBU7	CDC7;DBF4
694	Kif17-Lin10 complex	Q922R1;Q99PW8	CP070;Kif17
695	SNARE complex (Stx1a, Snap25, Stxbp5)	P60881;Q9WU70;P32851	Snap25;Stxbp5;Stx1a
696	Fmrp-Lgl complex	P35922;Q80Y17	Fmr1;Llgl1
697	Kif13a-AP1 complex	Q8CA55;P35585;P22892;O35643	Kif13a;Ap1m1;Ap1g1;Ap1b1
698	p97-Ufd1-Npl4-IP3 receptor complex	P29994;Q9ES54;Q9ES53;P46462	Itpr1;Nploc4;Ufd1;Vcp
699	LLGL2-PAR-6B-PRKCI complex	Q6P1M3;Q9BYG5;P41743	LLGL2;PARD6B;PRKCI
700	p97-Ufd1-Npl4 complex	Q9ES54;Q9ES53;P46462	Nploc4;Ufd1;Vcp
701	Ufd1-Npl4 complex	Q9ES54;Q9ES53	Nploc4;Ufd1
702	LLGL1-PAR-6B-PRKCI complex	Q9BYG5;Q15334;P41743	PARD6B;LLGL1;PRKCI
703	p47-Vcp complex	P46462;O35987	Vcp;Nsfl1c
704	Tamalin-mGluR1a-cytohesin complex	P63035;Q8R4T5;P23385	Cyth2;Tamalin;Grm1
705	Tamalin-mGluR5 complex	P22756;Q8R4T5	Grik1;Tamalin
706	BRCA1-RAD50-MRE11-NBS1 complex	O60934;Q92878;P38398;P49959	NBN;RAD50;BRCA1;MRE11
707	mPar6c-Mlgl-aPKC complex	Q62074;Q80Y17;Q9Z101	Prkci;Llgl1;Pard6a
708	Rab27a-Mlph-Myo5a complex	Q99104;Q91V27;Q9ERI2	Myo5a;Mlph;Rab27a
709	Pallidin-Mu complex	Q9R0C0;Q8R015	Bloc1s6;Bloc1s5
710	Crb1-Mupp1-Pals1-Mpp4 complex	Q8VHS2;Q8VBX6;Q6P7F1;Q9JLB2	Crb1;Mpdz;Mpp4;Mpp5
711	Rab11Fip2-Ap2a complex	Q3U366;P17426	Rab11fip2;Ap2a1
712	Rab11-Fip2-Reps1 complex	Q3U366;O54916	Rab11fip2;Reps1
713	Sec61alpha-CollagenIV-Hsp47 complex	P02463;P19324;P61620	Col4a1;Serpinh1;Sec61a1
714	EED-EZH2 complex	Q09028;Q6ZN18;Q15022;Q15910;O75530	RBBP4;AEBP2;SUZ12;EZH2;EED
715	Ocrl-Cdc42 complex	P60766;Q6NVF0	Cdc42;Ocrl
716	SNARE complex (Stx2, Snap25, Vamp2)	P60881;P50279;P63045	Snap25;Stx2;Vamp2
717	SNARE complex (Stx3, Snap25, Vamp2)	P60881;P63045;Q08849	Snap25;Vamp2;Stx3
718	SNARE complex (Stx4, Snap25, Vamp2)	P60881;Q08850;P63045	Snap25;Stx4;Vamp2
719	SNARE complex (Stx4, Snap25, Vamp2, Syt1)	P60881;Q08850;P21707;P63045	Snap25;Stx4;Syt1;Vamp2
720	SNARE complex (Stx3, Snap25, Vamp2, Syt1)	P60881;P21707;P63045;Q08849	Snap25;Syt1;Vamp2;Stx3
721	SNARE complex (Stx2, Snap25, Vamp2, Syt1)	P60881;P50279;P21707;P63045	Snap25;Stx2;Syt1;Vamp2
722	SNARE complex (Stx1a, Snap25, Vamp2, Syt1)	P60881;P21707;P63045;P32851	Snap25;Syt1;Vamp2;Stx1a
723	SNARE complex (Stx2, Snap25, Vamp2, Cplx1)	P60881;P50279;P63041;P63045	Snap25;Stx2;Cplx1;Vamp2
724	SNARE complex (Stx2, Snap25, Vamp2, Cplx2)	P60881;P50279;P63045;P84087	Snap25;Stx2;Vamp2;Cplx2
725	SNARE complex (Stx3, Snap25, Vamp2, Cplx2)	P60881;P84087;P63045;Q08849	Snap25;Cplx2;Vamp2;Stx3
726	Agap11-AP3 complex	Q9Z1T1;Q9JKC8;Q8BXK8;Q8BSZ2;Q8R2R9	Ap3b1;Ap3m1;Agap1;Ap3s2;Ap3m2
727	Tubulin polyglutamylase complex	Q9CQM0;Q66JT5;Q91V51;Q99MS8;Q91YK0	Nicn1;Tpgs2;Ttll1;Tpgs1;Lrrc49
728	Kif5a-Dtnb-Dtna complex	P84060;D4A772;Q6QLM7	Dtnb;Dtna;Kif5a
729	Kif5b-Dtnb complex	O70585;Q61768	Dtnb;Kif5b
730	GAA1-GPI8-PIGT-PIG-PIGS complex	O43292;Q96S52;Q969N2;Q92643;Q9H490	GPAA1;PIGS;PIGT;PIGK;PIGU
731	KIN17-PCNA-RPA70 complex	O60870;P12004;P27694	KIN;PCNA;RPA1
732	p23 protein complex	Q86W51;Q15185;P22626	PDCD6;PTGES3;HNRNPA2B1
733	TorsinA-TorsinB complex	O14657;O14656	TOR1B;TOR1A
734	DNA synthesome complex	Q04750;P33609;P37913;P33610;Q01320;Q9EQ28;Q9CWP8;P20664;O35654;P33611;P17918;P52431	Top1;Pola1;Lig1;Prim2;Top2a;Pold3;Pold4;Prim1;Pold2;Pola2;Pcna;Pold1
735	RC complex (Replication competent complex)	P35249;P35251;P24941;P40938;P35250;P09884;P20248;Q14181;P40937	RFC4;RFC1;CDK2;RFC3;RFC2;POLA1;CCNA2;POLA2;RFC5
736	RC complex during S-phase of cell cycle	P11387;P35251;P18858;P24941;P35250;P09884;P09874;P15927;P27694;P20248;Q07864;P28340;P35244	TOP1;RFC1;LIG1;CDK2;RFC2;POLA1;PARP1;RPA2;RPA1;CCNA2;POLE;POLD1;RPA3
737	RC complex during G2/M-phase of cell cycle	P11387;P35251;P28340;P35250;P09884;P09874;P14635;P15927;P20248;P06493;P27694;Q07864;P35244	TOP1;RFC1;POLD1;RFC2;POLA1;PARP1;CCNB1;RPA2;CCNA2;CDK1;RPA1;POLE;RPA3
738	Caveolin complex	P63259;P60711;P41350;Q2IBC5;P20070;Q9Z2S9	Actg1;Actb;Cav1;Cav2;Cyb5r3;Flot2
739	CAK core complex (Cdk-activating kinase core complex)	P50613;P51946	CDK7;CCNH
740	CAK complex (Cdk-activating kinase complex)	P50613;P51948;P51946	CDK7;MNAT1;CCNH
741	SNARE complex (Stx1a,1b,7,13, Rtn1, Vamp2)	P63045;P61265;Q64548;O70257;G3V7P1;P32851	Vamp2;Stx1b;Rtn1;Stx7;Stx12;Stx1a
742	Pcdhga1-Pcdha4 complex	O88689;Q91XZ0	Pcdha4;Pcdhga1
743	Pcdhga1-Pcdhgb2 complex	O88689;Q91XX7	Pcdha4;Pcdhgb2
744	Pcdhga1-Pcdhga3 complex	O88689;Q91XY5	Pcdha4;Pcdhga3
745	Pcdhga1-Pcdhgb4 complex	O88689;Q91XX6	Pcdha4;Pcdhgb4
746	Pcdha7-Pcdhgb4 complex	Q91Y13;Q91XX6	Pcdha7;Pcdhgb4
747	Pcdha7-Pcdhga3 complex	Q91Y13;Q91XY5	Pcdha7;Pcdhga3
748	Pcdha7-Pcdhgb2 complex	Q91Y13;Q91XX7	Pcdha7;Pcdhgb2
749	Pcdha7-Pcdhga1 complex	Q91Y13;Q91XZ0	Pcdha7;Pcdhga1
750	Fgr-Pyk2-p190RhoGap complex	P14234;Q9QVP9;Q91YM2	Fgr;Ptk2b;Arhgap35
751	Baiap2-Tiam1 complex	D3ZWV8;Q6GMN2	Tiam1;Baiap2
752	Calreticulin-Tnfr1-Tradd complex	P15253;G1SYP2;G1TNY9	CALR;TNFRSF1A;TRADD
753	Ppp1r9b-Tiam1 complex	O35274;D3ZWV8	Ppp1r9b;Tiam1
754	SNARE complex (Stx4, Vamp7, Snap23, Syt7)	Q62747;Q08850;O70377;Q9JHW5	Syt7;Stx4;Snap23;Vamp7
755	HNF4A-SUB1 complex	P41235;P53999	HNF4A;SUB1
756	TFIIH transcription factor complex	P19447;Q92759;P18074;P51948;Q13888;Q13889;Q6ZYL4;P50613;P51946;P32780	ERCC3;GTF2H4;ERCC2;MNAT1;GTF2H2;GTF2H3;GTF2H5;CDK7;CCNH;GTF2H1
757	CAK-ERCC2 complex	P50613;P51948;P51946;P18074	CDK7;MNAT1;CCNH;ERCC2
758	OAP-1-OSP/claudin-11-ITGB1 complex	Q9QY33;P09055;Q60771	Tspan3;Itgb1;Cldn11
759	TFIIH transcription factor core complex	P19447;Q92759;Q13888;Q13889;P32780	ERCC3;GTF2H4;GTF2H2;GTF2H3;GTF2H1
760	PCNA-PAF complex	P12004;Q15004	PCNA;PCLAF
761	p33ING1b-PCNA complex	Q9UK53;Q15004	ING1;PCLAF
762	Alpha-dystrobrevin-ZO-1-actin complex	Q07157;P60709;Q9Y4J8	TJP1;ACTB;DTNA
763	SRA-SRC-1 ribonucleoprotein complex	Q9HD15;Q15788	SRA1;NCOA1
764	Car-Lnx2 complex	P97792;Q91XL2	Cxadr;Lnx2
765	Car-Jam3 complex	P97792;Q9D8B7	Cxadr;Jam3
766	Snurportin-CRM1-RanGTP complex	O95149;P62826;O14980	SNUPN;RAN;XPO1
767	Lnx1-Jam4-Numb complex	Q7TSN7;Q9QZS3;O70263	Igsf5;Numb;Lnx1
768	Vdr-Med4 complex	Q9CQA5;P48281	Med4;Vdr
769	Ubiquitin E3 ligase (FBXW11, SKP1A, CUL1, RBX1)	Q13616;P62877;Q9UKB1;P63208	CUL1;RBX1;FBXW11;SKP1
770	ESR1-RELA-BCL3-NCOA3 complex	P20749;P03372;Q04206;Q9Y6Q9	BCL3;ESR1;RELA;NCOA3
771	ZNF198-PML complex	P29590;Q9UBW7	PML;ZMYM2
772	ZNF198-SUMO1 complex	Q9UBW7;P63165	ZMYM2;SUMO1
773	DIPA-MCRS1 complex	Q15834;Q96EZ8	CCDC85B;MCRS1
774	SNX complex (SNX1, SNX6)	Q13596;Q9UNH7	SNX1;SNX6
775	Retromer complex (SNX1, SNX2, VPS35, VPS29, VPS26B)	Q96QK1;Q4G0F5;Q13596;Q9UBQ0;O60749	VPS35;VPS26B;SNX1;VPS29;SNX2
776	BAR-BCL2-CASP8 complex	Q9NZS9;Q14790;P10415	BFAR;CASP8;BCL2
777	GRASP-GRP1 complex	Q7Z6J2;O43739	TAMALIN;CYTH3
778	IFP35-NMI complex	P80217;Q13287	IFI35;NMI
779	mPar6c-Mlgl-aPKCz complex	Q02956;Q9Z101;Q80Y17	Prkcz;Pard6a;Llgl1
780	CD8A-LCK complex	P06239;P01732	LCK;CD8A
781	12S U11 snRNP	P62308;Q16629;Q16560;P62304;Q9BV90;Q9H875;Q8N8D1;P62318;P62314;P62306;Q6IEG0;P67809;P14678;P62316;Q96GM8	SNRPG;SRSF7;SNRNP35;SNRPE;SNRNP25;PRKRIP1;PDCD7;SNRPD3;SNRPD1;SNRPF;SNRNP48;YBX1;SNRPB;SNRPD2;TOE1
782	FIF-FGR2 complex	Q9BZZ5;P09038	API5;FGF2
783	SNX complex (SNX1, SNX1a, SNX2, SNX4)	O95219;Q13596;O60749	SNX4;SNX1;SNX2
784	PKD2-FPC complex	Q13563;P08F94	PKD2;PKHD1
785	SNX complex (SNX2), oligomeric	O60749	SNX2
786	Pkd2-Fpc-Kif3b complex	O35245;Q61771;Q8CIS7	Pkd2;Kif3b;Pkhd1
787	Pkd2-Pkhd1 complex	E9PZ36;O35245	Pkhd1;Pkd2
788	KIF3A-PKD2-PKHD1 complex	F1PGE3;F6UP44;E2RK30	PKD2;KIF3A;PKHD1
789	P-TEFb.1 complex	P50750;O60563	CDK9;CCNT1
790	P-TEFb.2 complex	O60583;P50750	CCNT2;CDK9
791	P-TEFb.4 complex	O75909;P50750	CCNK;CDK9
